,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041805698078315134,768,768,1.0,2.8994463924559533,4.046622465831446,0.9104376626102116,True,24.86872,dense,4.74678740552209,3.040297,1.3956535,bert.encoder.layer.0.attention.self.query,767,1097.2278,768,92,1,1,0.1980309757778888,24.86872,44.1208,success,4.986854553222656,0.00029792782152071595,,1,24.86871910095215,3.400996685028076
3,14,Linear,0.0466724727546064,768,768,1.0,3.208245569012258,5.033788564796409,0.9095025670197332,True,37.06943,dense,5.31871858777884,3.0336206,1.569016,bert.encoder.layer.0.attention.self.key,768,1080.4893,768,86,0,1,0.23812124362079662,37.06943,29.147717,success,6.088467121124268,0.0020840256474912167,,0,37.06943130493164,3.6084113121032715
4,15,Linear,0.09198209468273,768,768,1.0,4.257152664270418,2.9581245142024146,0.936311294907231,True,4.952903,dense,3.9910520927290833,2.6899326,0.69485986,bert.encoder.layer.0.attention.self.value,768,489.70267,768,58,0,1,0.42768509762489004,4.952903,98.87185,success,2.2255117893218994,0.0009699887596070766,,1,4.952902793884277,2.14753794670105
5,18,Linear,0.059300817891156266,768,768,1.0,2.5198718739624457,2.2759355863168667,0.9174262522352803,True,8.001934,dense,3.3316065869569926,2.6831152,0.90319496,bert.encoder.layer.0.attention.output.dense,768,482.07553,768,138,0,1,0.12938008586270697,8.001934,60.244877,success,2.8287689685821533,0.0004547846911009401,,1,8.001934051513672,1.040483832359314
6,22,Linear,0.05867033511656894,768,3072,4.0,3.3643120986276216,7.452579867474962,0.9711777778464423,True,164.12952,dense,7.518926779257473,3.5191107,2.2151868,bert.encoder.layer.0.intermediate.dense,768,3304.5374,768,223,0,1,0.15832604860506103,164.12952,20.133718,success,12.811304092407227,0.461005836725235,,0,164.1295166015625,4.790542125701904
7,25,Linear,0.03646862531078321,768,3072,4.0,3.5595461624467224,6.087582777342643,1.000716922638271,True,51.311317,dense,6.346001719283971,3.4817839,1.7102132,bert.encoder.layer.0.output.dense,768,3032.3813,768,32,0,1,0.45246811205652043,51.311317,59.09771,success,7.163191795349121,0.39766961336135864,,0,51.311317443847656,9.077798843383789
8,31,Linear,0.04395488198427844,768,768,1.0,2.7300627971324127,3.5645865400363683,0.9149993001064184,True,20.215258,dense,4.500769314388377,3.0284379,1.3056793,bert.encoder.layer.1.attention.self.query,767,1067.6714,768,134,1,1,0.14945466247156614,20.215258,52.815125,success,4.496138095855713,6.715493509545922e-05,,2,20.21525764465332,2.425323963165283
9,32,Linear,0.03261396076930878,768,768,1.0,2.7142979186167064,4.162593824986,0.9030279897685882,True,34.1649,dense,4.68408986073867,3.0282319,1.5335803,bert.encoder.layer.1.attention.self.key,767,1067.165,768,108,1,1,0.16495839413076177,34.1649,31.235712,success,5.8450751304626465,0.0004921124782413244,,1,34.16490173339844,2.7739789485931396
